"Boutik:Header:ContactUs","Contactez-nous au"
"Boutik:Header:ContactUsPhone","1.450.979.7620"
"Continue shopping","Continuer vos achats"
"This product is out of stock","Ce produit est en rupture de stock"
"View Product","Voir le produit"
"Add to Cart","Ajouter au panier"
"There are less than %1 items in stock","Il y a moins de %1 items en stock"
"Buy %1 for %2 each and","Achetez en %1 pour %2 chaque et"
"save","sauvez"
" available"," disponible(s)"
"(s)","(s)"
"Filters Applied","Filtres appliqués"
"Filters","Filtres"
"Filter","Filtre"
"Apply","Appliquer"
"Clear All","Réinitialiser"
"Apply Filters","Appliquer les filtres"
"Remove This Item","Retirer cet élément"
"More","Voir plus"
"Less","Voir moins"
"Summary","Sommaire"
"Sign Up for Our Newsletter","Abonnez-vous à notre infolettre"
"Be among the first to see our latest offers and events to come","Soyez parmi les premiers informés de nos offres spéciales et des évènements à venir"
